First Name,Last Name,Retirement Season,Age,PP,2P,GB,GP,AB,PA,R,H,HR,AVG,OBP,SLG,OPS,1B,2B,3B,RBI,XBH,TB,SB,CS,BB,K,HBP,ISO,BABIP,SH,SF,E,PB,PA/G,AB/HR,K%,BB%,XBH%,wRAA,wSB,Def,Pos,Corr,RAA,WAA,WAR
Grip,Robles,,30,RF,OF,771,880,2349,2596,339,643,62,.274,.337,.411,.748,451,124,6,260,192,965,66,17,206,432,23,.137,.312,10,8,10,0,3.0,37.9,.18,.08,.30,21.2,5.4,4.5,-6.9,1.2,25.4,2.6,22.1
Vivian,Knox,9,41,SS,3B,423,610,1214,1359,156,312,43,.257,.328,.400,.727,225,44,0,168,87,485,4,3,124,300,8,.143,.306,4,9,23,0,2.2,28.2,.25,.09,.28,-6.6,-1.0,4.5,3.4,1.1,1.5,0.1,9.4
Talon,Peck,9,39,2B,IF/OF,635,709,1881,2093,238,526,36,.280,.341,.394,.735,384,105,1,203,142,741,2,3,166,272,18,.114,.308,11,17,26,0,3.0,52.3,.14,.08,.27,15.6,-1.7,4.5,2.2,1.5,22.2,2.3,16.6
Easton,Middleman,18,43,SS,2B,1174,1310,3478,3895,456,886,161,.255,.325,.451,.775,535,181,9,568,351,1568,28,12,341,821,33,.196,.287,13,30,70,0,3.0,21.6,.24,.09,.40,29.4,-1.5,4.4,-11.3,2.2,23.1,2.4,28.9
Anakin,Petersen,,38,RF,C,1170,1343,3448,3859,483,857,88,.249,.317,.389,.706,577,165,27,398,280,1340,210,39,324,802,35,.140,.297,25,27,11,10,2.9,39.2,.23,.08,.33,-2.2,22.2,4.4,8.2,1.7,34.2,3.5,29.9
Marta,Gold,,35,CF,1B/OF,965,1063,2797,3088,371,707,85,.253,.312,.405,.718,472,128,22,346,235,1134,139,36,228,652,21,.153,.299,25,17,10,0,2.9,32.9,.23,.07,.33,-25.6,11.2,4.4,-8.5,1.5,-17.1,-1.8,20.9
Ibrahim,Abate,,28,CF,1B/OF,666,720,2043,2311,281,598,83,.293,.361,.484,.845,377,135,3,340,221,988,7,6,209,359,24,.191,.317,11,24,5,0,3.2,24.6,.18,.09,.37,97.7,-2.9,4.3,-6.1,1.2,94.2,9.7,27.3
Khat,Rotha,,29,SS,2B,226,278,635,705,60,145,24,.228,.291,.400,.691,85,35,1,97,60,254,2,2,52,158,6,.172,.264,7,5,10,0,2.5,26.5,.25,.07,.41,-2.9,-1.0,4.3,-2.9,0.7,-1.8,-0.2,6.4
Purdeep,Marsh,11,40,SS,IF/OF,378,847,833,916,86,204,12,.245,.303,.331,.634,157,34,1,88,47,276,10,11,65,251,6,.086,.334,7,5,17,0,1.1,69.4,.30,.07,.23,-28.8,-3.3,4.3,2.6,0.6,-24.6,-2.5,3.7
Keith,McLaughlin,13,38,2B,,1008,1040,3170,3530,458,875,165,.276,.342,.497,.838,510,196,4,527,365,1574,17,13,297,379,32,.221,.268,6,25,52,0,3.4,19.2,.12,.08,.42,95.8,-3.9,4.3,4.0,1.9,102.1,10.4,34.5
Harrison,Sierra,,35,SS,IF/OF,811,835,2431,2695,262,582,89,.239,.304,.404,.707,368,118,7,309,214,981,18,7,209,647,24,.164,.287,11,20,43,0,3.2,27.3,.27,.08,.37,-22.3,-0.9,4.2,6.1,1.2,-11.7,-1.2,18.6
Dino,Murfee,,31,3B,IF,85,233,224,251,26,60,7,.268,.331,.420,.750,40,13,0,25,20,94,2,1,22,51,0,.152,.315,3,2,1,0,1.1,32.0,.23,.09,.33,2.8,-0.1,4.2,3.0,0.3,10.3,1.0,3.7
Braylon,Pacheco,,28,RF,,197,400,571,633,76,149,21,.261,.325,.410,.735,106,22,0,62,43,234,3,2,48,101,9,.149,.282,0,5,2,0,1.6,27.2,.18,.08,.29,-9.4,-0.8,4.2,-9.6,0.5,-15.1,-1.5,4.3
Olympus,Mons,,31,2B,,699,720,2189,2504,393,644,124,.294,.372,.534,.906,380,128,12,387,264,1168,53,21,264,413,21,.239,.311,8,22,29,0,3.5,17.7,.19,.11,.41,122.8,-1.2,4.2,3.1,1.3,130.1,13.3,32.3
Freddie,Webb,18,40,SS,2B,853,1113,2312,2571,263,534,81,.231,.301,.385,.686,345,102,6,270,189,891,14,4,211,661,25,.154,.286,9,14,49,1,2.3,28.5,.29,.08,.35,-40.9,-0.3,4.2,-8.2,1.2,-44.1,-4.5,13.1
Quentin,Santana,19,40,1B,OF,723,991,2154,2408,260,526,109,.244,.312,.443,.755,318,97,2,342,208,954,1,1,201,529,22,.199,.271,9,22,5,0,2.4,19.8,.25,.08,.40,5.4,-1.5,4.2,-18.9,0.8,-10.1,-1.0,15.4
Tyson,Arroyo,17,40,CF,OF,1208,1347,3429,3837,406,792,134,.231,.303,.394,.697,506,147,5,470,286,1351,41,15,328,1148,37,.163,.303,16,27,12,2,2.8,25.6,.33,.09,.36,-52.8,-0.2,4.1,-13.2,2.1,-60.1,-6.1,20.1
Gia,Starradottir,,24,3B,1B,203,321,483,546,57,118,10,.244,.325,.352,.677,86,22,0,52,32,170,3,3,53,134,5,.108,.318,4,1,9,0,1.7,48.3,.28,.10,.27,-20.6,-1.2,4.1,-1.8,0.6,-18.9,-1.9,3.3
Kannon,Friendly,13,41,CF,1B/OF,845,964,2401,2644,261,582,60,.242,.301,.364,.665,416,100,6,289,166,874,30,12,184,671,27,.122,.309,13,19,8,0,2.7,40.0,.28,.07,.29,-62.8,-0.4,4.0,-6.9,1.6,-64.5,-6.5,11.5
Bash,Clemente,17,39,RF,1B/OF,617,792,1799,1968,214,455,68,.253,.308,.415,.723,300,86,1,207,155,747,2,1,130,543,17,.162,.323,12,10,7,0,2.5,26.5,.30,.07,.34,-14.6,-1.1,4.0,-0.6,0.7,-11.6,-1.2,12.2
Captain,Price,,29,2B,SS,536,543,1734,1947,231,481,48,.277,.347,.424,.771,324,108,1,218,157,735,4,3,170,189,23,.146,.287,6,14,29,0,3.6,36.1,.11,.09,.33,16.8,-1.8,4.0,-1.5,1.1,18.7,1.9,17.0
Montgomery,Sweeney,16,44,LF,RF,367,1191,1049,1158,115,250,41,.238,.305,.393,.698,170,39,0,119,80,412,2,2,86,306,17,.154,.296,2,4,1,0,1.0,25.6,.29,.07,.32,-14.8,-0.9,4.0,3.6,0.8,-7.4,-0.7,7.2
Turner,Waller,,44,CF,1B/OF,1286,1380,3997,4445,525,1030,136,.258,.322,.419,.741,676,200,18,529,354,1674,98,40,367,838,31,.161,.292,15,35,15,0,3.2,29.4,.21,.08,.34,11.4,-0.4,3.9,-10.5,2.2,6.6,0.6,31.0
Tamarindo,Mezcal,,28,SS,3B,432,480,1156,1287,141,283,52,.245,.316,.423,.739,182,48,1,161,101,489,2,0,109,345,12,.178,.304,8,2,27,0,2.7,22.2,.30,.08,.36,12.4,-0.5,3.9,4.0,0.8,20.6,2.0,11.9
Akira,Smith,11,40,C,1B,654,822,1963,2175,269,503,101,.256,.323,.465,.788,300,98,4,297,203,912,4,5,173,431,25,.208,.280,7,7,0,8,2.6,19.4,.22,.08,.40,36.0,-2.3,3.9,23.0,1.4,62.0,6.3,21.1
Kamari,Soronen,12,40,3B,SS,915,946,2976,3289,436,824,80,.277,.336,.432,.767,546,175,23,325,278,1285,101,43,243,376,33,.155,.292,12,25,55,0,3.5,37.2,.13,.07,.34,30.3,-0.5,3.8,0.7,1.9,36.2,3.7,26.2
Kansas,Compton,11,39,C,RF,645,880,1826,2060,206,450,57,.246,.320,.389,.709,306,85,2,250,144,710,4,1,189,437,15,.142,.292,16,14,1,10,2.3,32.0,.24,.09,.32,-30.3,-0.5,3.8,10.3,1.3,-15.4,-1.6,12.5
Jayson,Schwartz,13,40,LF,OF,908,1004,2809,3120,367,768,93,.273,.335,.427,.761,527,144,4,373,241,1199,4,4,241,421,31,.153,.291,11,28,12,0,3.1,30.2,.15,.08,.31,9.1,-2.3,3.8,8.3,1.7,20.6,2.0,23.3
Everett,Nguyen,18,36,LF,,1288,1320,4217,4698,663,1159,140,.275,.341,.442,.783,768,218,33,507,391,1863,221,67,388,714,53,.167,.301,12,28,12,0,3.6,30.1,.17,.08,.34,66.9,11.6,3.7,-0.4,2.3,84.0,8.6,40.7
Delbert,McLongthrob,10,36,3B,SS,668,736,2085,2320,252,547,83,.262,.328,.440,.768,349,109,6,301,198,917,3,8,191,381,21,.177,.283,7,16,39,0,3.2,25.1,.18,.08,.36,25.1,-3.8,3.7,0.5,1.6,27.1,2.8,18.6
Julie,Mao,,27,3B,SS,337,400,993,1113,116,232,35,.234,.304,.384,.687,153,44,0,142,79,381,2,0,101,242,3,.150,.272,7,9,21,0,2.8,28.4,.24,.09,.34,-6.6,-0.1,3.7,0.3,0.8,-1.9,-0.2,9.0
Walker,McMackie,10,39,3B,SS,729,749,2326,2583,320,624,100,.268,.333,.463,.796,377,140,7,294,247,1078,14,18,210,294,24,.195,.269,4,19,43,0,3.4,23.3,.13,.08,.40,50.6,-6.3,3.7,0.6,1.6,50.2,5.1,22.7
Roberto,Plaza,,29,LF,RF,261,720,709,740,75,154,13,.217,.240,.299,.540,124,15,2,69,30,212,7,0,23,180,0,.082,.271,4,4,0,0,1.0,54.5,.25,.03,.19,-46.7,1.0,3.6,2.7,0.4,-39.0,-4.0,1.5
Maya,Andersen,9,40,C,,431,682,1250,1352,145,307,49,.246,.296,.422,.718,187,69,2,176,120,527,2,0,86,338,6,.176,.297,4,6,0,4,2.0,25.5,.27,.06,.39,-11.6,0.1,3.6,8.2,1.1,1.4,0.2,9.4
Carlisle,Lewis,,35,C,,765,1266,1996,2211,210,506,37,.254,.320,.360,.680,370,96,3,202,136,719,2,4,173,541,26,.107,.329,9,7,0,14,1.7,53.9,.27,.08,.27,-30.2,-2.8,3.6,15.0,1.0,-13.4,-1.4,14.1
Waldo,Hendricks,14,41,C,RF,812,1100,2360,2645,294,581,55,.246,.317,.373,.690,398,121,7,290,183,881,45,21,231,530,21,.127,.293,14,19,2,14,2.4,42.9,.22,.09,.31,-35.6,-1.7,3.6,13.0,1.3,-19.3,-1.9,16.1
Bro,Benitez,11,39,RF,OF,778,869,2345,2633,305,602,94,.257,.327,.435,.762,375,129,4,342,227,1021,4,2,227,485,29,.179,.284,7,25,12,0,3.0,24.9,.21,.09,.38,3.9,-1.1,3.5,-6.3,1.7,1.8,0.1,18.0
Emmeline,Roosevelt,9,41,LF,RF,518,669,1524,1721,174,396,34,.260,.335,.383,.718,278,82,2,170,118,584,12,7,156,235,21,.123,.286,9,11,4,0,2.6,44.8,.15,.09,.30,-5.2,-1.4,3.5,5.0,1.3,3.3,0.3,12.1
Kellan,Holt,13,32,CF,IF/OF,315,400,769,864,101,200,7,.260,.332,.334,.666,160,30,3,72,40,257,13,7,76,187,9,.074,.333,5,5,7,0,2.2,109.9,.24,.09,.20,-9.9,-1.1,3.5,4.3,0.2,-2.9,-0.3,5.6
T.K.,Slider,,22,2B,,197,240,556,612,110,174,21,.313,.364,.475,.839,128,23,2,67,46,264,41,11,48,129,1,.162,.370,0,7,1,0,2.6,26.5,.23,.08,.26,20.9,2.3,3.5,1.1,0.5,28.3,2.8,8.8
Nathaniel,Peppers,17,40,CF,OF,398,658,1137,1272,137,309,19,.272,.339,.376,.714,231,57,2,111,78,427,20,7,111,256,8,.104,.333,8,8,1,1,1.9,59.8,.23,.09,.25,-2.8,0.0,3.5,-4.3,0.3,-3.3,-0.3,8.4
Fret,Pecorino,,40,LF,RF,503,579,1482,1628,168,369,44,.249,.306,.379,.686,266,57,2,183,103,562,4,6,114,377,14,.130,.303,6,12,4,0,2.8,33.7,.25,.07,.28,-38.1,-2.6,3.5,5.0,0.7,-31.5,-3.2,8.1
Rylee,Dejesus,14,40,C,LF,593,1066,1575,1754,153,394,24,.250,.316,.336,.652,308,61,1,146,86,529,5,2,141,280,14,.086,.290,17,7,3,5,1.6,65.6,.18,.08,.22,-60.1,-0.7,3.5,22.7,1.1,-33.5,-3.4,8.6
Romeo,Johnson,12,43,C,1B,464,960,1134,1261,105,262,14,.231,.295,.313,.608,197,51,0,119,65,355,0,1,101,237,5,.082,.279,14,7,0,4,1.3,81.0,.21,.08,.25,-58.9,-0.8,3.5,16.3,0.8,-39.1,-4.0,4.6
Finley,Hester,,30,1B,,824,847,2479,2834,427,746,122,.301,.379,.498,.876,503,120,1,444,243,1234,15,10,292,362,34,.197,.309,3,26,3,0,3.3,20.3,.15,.10,.33,143.7,-3.9,3.5,-26.8,1.3,117.7,12.0,33.2
Callan,Stout,,33,LF,OF,652,692,2007,2225,261,546,55,.272,.338,.418,.756,373,108,10,223,173,839,47,19,183,406,20,.146,.316,8,7,7,0,3.2,36.5,.20,.08,.32,25.0,-1.7,3.5,6.6,1.1,34.4,3.5,20.5
Wave,Dash,,25,3B,,298,452,903,998,115,260,22,.288,.348,.421,.769,188,46,4,111,72,380,29,9,79,169,7,.133,.332,4,5,19,0,2.2,41.0,.19,.08,.28,7.9,2.6,3.4,5.7,0.7,20.3,2.0,10.3
Sleve,McDichael,,33,C,OF,747,1121,2214,2451,259,582,55,.263,.328,.383,.711,426,101,0,252,156,848,0,3,204,300,18,.120,.282,3,12,2,11,2.2,40.3,.14,.08,.27,-9.5,-3.0,3.4,33.6,1.3,25.6,2.5,20.8
Loyd,Galindo,19,44,2B,IF,522,1406,968,1073,98,222,23,.229,.292,.344,.636,157,42,0,114,65,333,3,1,79,358,9,.115,.336,12,5,29,0,0.8,42.1,.37,.07,.29,-27.4,-0.3,3.4,12.8,0.7,-10.8,-1.1,6.2
Joey,Conrad,13,37,1B,OF,999,1014,3234,3587,468,933,101,.288,.350,.450,.800,639,166,27,431,294,1456,59,34,288,451,31,.162,.307,8,26,10,0,3.5,32.0,.14,.08,.32,64.5,-5.1,3.3,-26.1,2.0,38.5,4.0,28.4
Benedikt,Steiner,,26,3B,,207,240,652,733,80,156,11,.239,.306,.354,.661,106,36,3,71,50,231,12,6,54,135,13,.115,.282,5,9,8,0,3.1,59.3,.21,.07,.32,-19.4,-0.6,3.3,4.3,0.5,-11.9,-1.2,5.3
Vijay,Ramdeen,,24,RF,LF,374,389,1173,1320,136,300,27,.256,.329,.376,.704,215,56,2,122,85,441,2,8,112,187,20,.120,.282,5,10,4,0,3.4,43.4,.16,.08,.28,-19.5,-4.2,3.3,-16.6,1.0,-36.0,-3.6,7.2
Armando,Dickerson,,31,1B,3B,587,720,1777,1978,197,450,28,.253,.322,.351,.672,336,83,3,178,114,623,8,2,167,244,17,.097,.279,7,10,9,0,2.7,63.5,.14,.08,.25,-60.6,-0.6,3.3,-11.2,1.0,-68.2,-6.9,7.8
Spartanne,Layzar,,27,CF,OF,390,400,1232,1376,188,321,57,.261,.329,.456,.786,203,52,9,176,118,562,23,13,117,334,14,.196,.311,4,9,2,0,3.4,21.6,.27,.09,.37,15.2,-2.0,3.3,-5.1,1.0,12.4,1.3,12.4
Leonard,Huber,,35,C,,791,1025,2473,2750,346,689,120,.279,.342,.484,.826,420,149,0,361,269,1198,1,0,224,270,23,.206,.271,10,20,0,16,2.7,20.6,.11,.08,.39,73.0,-1.4,3.2,15.7,1.2,91.6,9.3,29.0
Diego,Trejo,8,40,3B,1B,517,560,1535,1715,186,382,74,.249,.316,.433,.749,248,60,0,233,134,664,0,2,143,383,16,.184,.282,5,16,24,1,3.1,20.7,.25,.08,.35,1.8,-1.4,3.2,-3.4,1.3,1.4,0.1,11.8
Energie,Tang,,42,2B,3B,565,733,1646,1848,184,408,57,.248,.316,.410,.727,260,86,5,217,148,675,9,9,158,442,15,.162,.302,12,17,32,0,2.5,28.9,.27,.09,.36,-2.9,-3.3,3.2,4.9,0.7,2.5,0.3,12.9
Vito,Pennington,,36,RF,LF,763,1153,2251,2477,260,551,106,.245,.304,.442,.746,321,121,3,333,230,996,10,11,177,720,21,.198,.308,10,18,7,0,2.1,21.2,.32,.07,.42,5.7,-4.5,3.2,-30.7,1.3,-25.0,-2.6,15.8
Kaden,Diligence,,35,1B,OF,558,596,1694,1883,211,435,76,.257,.322,.455,.777,260,91,8,239,175,770,4,5,151,411,18,.198,.294,7,13,5,0,3.2,22.3,.24,.08,.40,19.4,-2.4,3.2,-16.5,1.0,4.7,0.4,14.9
Sophie,Bikes,,25,CF,OF,447,480,1433,1606,238,428,51,.299,.365,.475,.840,286,82,9,187,142,681,95,32,143,242,13,.177,.327,5,12,2,0,3.3,28.1,.17,.09,.33,56.0,8.1,3.1,-5.7,1.0,62.5,6.3,19.2
Piazza,Taylor,10,37,CF,OF,655,712,1981,2205,277,522,66,.264,.331,.424,.754,344,105,7,250,178,839,30,13,180,387,25,.160,.296,6,13,6,0,3.1,30.0,.20,.08,.34,18.6,-0.7,3.1,-7.2,1.4,15.3,1.5,16.6
Ferne,Knapp,16,43,LF,OF,785,1185,2160,2410,265,562,72,.260,.328,.414,.742,380,104,6,288,182,894,15,10,205,577,19,.154,.322,14,12,10,1,2.0,30.0,.27,.09,.32,-2.0,-2.6,3.1,7.2,1.3,7.0,0.7,17.1
Annabelle,Nolan,10,42,RF,C,260,767,724,797,112,192,17,.265,.319,.384,.703,143,29,3,70,49,278,11,8,46,149,15,.119,.309,4,8,1,0,1.0,42.6,.21,.06,.26,-7.0,-1.7,3.1,1.8,0.5,-3.2,-0.4,5.1
Lucy,Desmond,,36,LF,RF,352,716,1013,1133,116,264,24,.261,.326,.389,.715,183,56,1,124,81,394,5,1,93,212,10,.128,.305,8,9,2,0,1.6,42.2,.21,.08,.31,-6.6,-0.2,3.1,3.5,0.5,0.2,0.0,7.9
Mulberry,McMackie,2,40,SS,2B,122,138,378,428,57,96,16,.254,.333,.442,.775,58,21,1,53,38,167,0,0,43,55,3,.188,.259,2,2,4,0,3.1,23.6,.15,.10,.40,7.0,0.0,3.0,-1.2,0.5,9.3,0.9,3.8
Eustice,Wankah,,27,1B,,551,561,1680,1871,213,411,59,.245,.315,.404,.719,262,90,0,214,149,678,0,1,163,238,15,.159,.252,1,12,2,0,3.3,28.5,.14,.09,.36,-7.7,-1.6,3.0,-18.7,1.1,-23.9,-2.4,12.2
Leonard,Pope,11,40,3B,1B,412,807,970,1090,103,246,11,.254,.320,.339,.659,188,44,3,110,58,329,6,5,89,248,10,.086,.326,11,10,19,0,1.4,88.2,.26,.08,.24,-18.6,-1.5,3.0,-2.7,0.5,-19.4,-2.0,5.5
Oskar,Kubicek,,26,RF,OF,219,400,626,694,64,155,15,.248,.313,.369,.682,111,27,2,65,44,231,8,3,56,118,5,.121,.282,3,4,2,1,1.7,41.7,.19,.08,.28,-17.9,1.7,3.0,-2.4,0.5,-15.2,-1.5,5.0
Dexter,Rosario,15,40,C,OF,810,1200,2002,2222,192,459,23,.229,.293,.311,.604,344,90,2,192,115,622,5,1,157,518,30,.081,.296,19,14,3,10,1.9,87.0,.26,.07,.25,-100.3,-0.5,3.0,33.3,1.0,-63.5,-6.5,8.7
Gillian,Cruz,6,40,C,1B,259,466,660,751,74,172,19,.261,.330,.403,.733,117,35,1,83,55,266,15,6,64,160,9,.142,.312,9,9,0,0,1.6,34.7,.24,.09,.32,-1.1,0.2,3.0,9.1,0.7,11.8,1.2,6.3
Vinny,Suarez,18,38,C,,870,1261,2485,2779,328,673,102,.271,.341,.458,.799,418,148,5,355,255,1137,1,4,237,604,36,.187,.318,5,16,1,16,2.2,24.4,.24,.09,.38,67.4,-3.0,3.0,16.6,1.3,85.1,8.6,27.6
Jeffrey,McGregor,9,43,SS,OF,55,397,121,133,14,34,5,.281,.333,.463,.796,22,7,0,18,12,56,2,1,9,30,1,.182,.333,1,1,0,0,0.3,24.2,.25,.07,.35,2.5,-0.1,2.9,0.1,0.1,5.6,0.6,1.5
Emmet,Stephenson,,30,C,OF,382,641,1050,1165,117,253,30,.241,.310,.377,.687,170,53,0,123,83,396,0,0,98,209,10,.136,.273,1,6,0,4,1.8,35.0,.20,.08,.33,-15.2,-0.8,2.9,17.6,0.6,5.2,0.5,9.6
Heo,Moon,,30,CF,OF,694,719,2242,2486,300,603,52,.269,.332,.403,.735,418,121,12,217,185,904,70,31,198,306,21,.134,.290,9,16,8,0,3.5,43.1,.14,.08,.31,11.2,-2.0,2.9,-8.4,1.3,5.0,0.5,19.3
Soap,MacTavish,,26,RF,LF,549,561,1745,1947,308,487,90,.279,.341,.516,.857,269,112,16,305,218,901,86,8,151,317,23,.237,.292,6,22,9,0,3.5,19.4,.18,.08,.45,75.7,12.2,2.9,-22.9,1.1,69.0,7.0,22.2
Emersyn,Lee,12,41,CF,1B/OF,753,872,2214,2480,289,586,52,.265,.333,.390,.722,425,97,12,220,161,863,80,30,213,429,20,.125,.305,18,15,8,0,2.8,42.6,.19,.09,.27,-18.2,1.4,2.9,-6.2,1.5,-18.6,-1.9,15.1
Eduardo,Heaps,15,39,CF,1B/OF,1016,1192,2723,3029,339,622,55,.228,.296,.338,.634,447,106,14,241,175,921,132,33,239,932,29,.110,.324,23,15,11,2,2.5,49.5,.34,.08,.28,-99.9,10.2,2.8,-8.3,1.5,-93.7,-9.4,11.2
Blaze,Henderson,12,40,SS,3B,283,860,746,831,88,189,16,.253,.323,.358,.681,143,30,0,78,46,267,1,0,69,132,10,.105,.287,1,5,14,3,1.0,46.6,.18,.08,.24,-13.8,-0.3,2.8,2.3,0.3,-8.7,-0.9,4.8
Nelson,Cortez,12,36,1B,3B,787,960,2314,2589,283,613,56,.265,.334,.389,.724,443,108,6,282,170,901,22,12,223,436,28,.124,.303,5,19,15,0,2.7,41.3,.19,.09,.28,26.3,-2.2,2.8,-13.7,1.5,14.7,1.5,19.1
Nuevo,Schmidt,5,37,SS,IF/OF,210,390,505,573,69,139,11,.275,.352,.406,.758,98,27,3,57,41,205,11,3,56,131,6,.131,.349,2,4,9,0,1.5,45.9,.26,.10,.29,6.6,0.7,2.7,1.5,0.5,12.0,1.2,5.1
Alani,Conway,15,37,1B,,1018,1085,3124,3517,420,833,108,.267,.338,.427,.765,563,148,14,405,270,1333,50,31,308,701,44,.160,.310,15,26,6,0,3.2,28.9,.22,.09,.32,47.8,-5.7,2.7,-30.2,1.6,16.2,1.6,25.7
Jay-Grey,Jaygerson,,22,SS,,223,240,619,690,59,153,21,.247,.312,.386,.699,109,23,0,85,44,239,2,1,57,208,4,.139,.334,5,5,14,0,2.9,29.5,.34,.08,.29,-7.9,-0.3,2.7,-0.6,0.5,-5.6,-0.6,5.5
Oliver,Olivia,14,40,2B,,394,586,1064,1181,116,285,21,.268,.330,.363,.693,226,38,0,125,59,386,16,10,92,227,11,.095,.320,6,8,19,0,2.0,50.7,.21,.08,.21,-18.4,-2.0,2.7,1.6,0.4,-15.7,-1.6,6.5
Dennis,Roy,15,40,SS,3B,1080,1115,3290,3640,473,909,150,.276,.334,.489,.823,527,213,19,564,382,1610,55,21,262,621,41,.213,.297,8,39,70,0,3.3,21.9,.19,.07,.42,92.8,0.1,2.7,8.7,1.9,106.2,10.8,35.7
Jeremy,Nash,,37,3B,,1098,1169,3396,3774,416,889,103,.262,.328,.412,.740,600,171,15,433,289,1399,47,18,304,606,37,.150,.291,21,16,69,0,3.2,33.0,.18,.08,.33,13.9,-1.0,2.7,18.3,1.8,35.6,3.7,31.2
Stephen,Martin,12,42,SS,2B,767,884,2268,2517,266,584,51,.257,.322,.379,.700,418,108,7,259,166,859,25,21,190,443,30,.121,.298,17,12,46,0,2.8,44.5,.20,.08,.28,-24.0,-5.5,2.7,-7.4,1.6,-32.6,-3.3,13.9
John,Villalobos,,31,2B,,665,915,1849,2043,171,446,43,.241,.303,.353,.655,329,71,3,200,117,652,13,9,151,435,18,.111,.291,11,14,30,0,2.2,43.0,.24,.07,.26,-51.8,-2.4,2.7,2.9,1.1,-47.5,-4.8,10.8
Old,Lady,18,39,LF,OF,235,293,653,731,71,152,10,.233,.306,.314,.620,121,19,2,47,31,205,10,4,65,142,6,.081,.281,3,4,1,0,2.5,65.3,.22,.09,.20,-21.8,-0.3,2.6,2.1,0.3,-16.9,-1.7,3.3
Florence,Hope,,36,1B,,717,773,2260,2491,296,588,94,.260,.322,.438,.760,379,110,5,280,209,990,28,11,189,452,23,.178,.286,8,11,4,0,3.2,24.0,.20,.08,.36,31.1,-1.9,2.6,-23.5,1.1,9.4,0.9,19.6
Romeo,Rice,2,38,2B,SS,86,114,279,312,45,70,9,.251,.317,.437,.755,36,25,0,39,34,122,0,0,26,37,3,.186,.257,0,4,2,0,2.7,31.0,.13,.08,.49,0.0,0.0,2.6,-0.2,0.4,2.8,0.3,2.4
Thaddeus,Sandwalker,16,40,C,,874,1280,2392,2649,278,555,80,.232,.294,.375,.670,378,91,6,300,177,898,0,2,193,800,29,.143,.309,10,25,1,17,2.1,29.9,.33,.07,.32,-59.5,-2.1,2.6,16.6,1.3,-41.1,-4.1,14.0
Brayden,Ray,8,39,RF,1B/OF,164,515,371,425,43,96,8,.259,.340,.350,.691,78,10,0,50,18,130,1,1,42,87,5,.092,.317,5,2,0,0,0.8,46.4,.23,.10,.19,-3.6,-0.4,2.5,-0.2,0.3,-1.4,-0.1,2.8
Hector,Hebert,,30,C,RF,484,640,1364,1524,139,319,37,.234,.303,.355,.657,229,52,1,150,90,484,1,0,126,321,14,.121,.277,7,13,1,7,2.4,36.9,.24,.08,.28,-34.1,-0.8,2.5,8.7,0.8,-22.8,-2.3,9.5
Hassan,Demirtas,,25,1B,3B,396,400,1225,1373,141,295,36,.241,.315,.382,.697,201,51,7,114,94,468,13,2,122,223,13,.141,.267,9,4,8,0,3.4,34.0,.18,.09,.32,-11.5,0.9,2.5,-8.3,1.0,-15.4,-1.6,9.7
Jung-Shin,Park,15,43,C,,547,1148,1415,1572,142,376,24,.266,.328,.366,.694,282,70,0,179,94,518,3,0,117,311,18,.100,.323,12,10,1,8,1.4,59.0,.22,.07,.25,-11.9,0.0,2.5,10.4,1.0,2.0,0.2,10.9
Alleycat,Crunchwrap,,31,2B,,306,315,1010,1114,148,314,29,.311,.364,.471,.835,216,63,6,133,98,476,46,15,82,136,7,.160,.334,6,9,15,0,3.5,34.8,.13,.07,.31,34.9,5.2,2.5,1.4,0.9,44.9,4.5,13.3
Roland,Roth,10,35,LF,RF,553,625,1658,1849,205,404,52,.244,.314,.382,.696,281,68,3,186,123,634,20,7,158,393,16,.139,.288,7,10,6,0,3.0,31.9,.24,.09,.30,-21.5,0.0,2.4,5.4,0.9,-12.8,-1.3,11.3
Robin,Rufner,,24,CF,OF,232,293,628,705,83,169,13,.269,.339,.392,.731,119,36,1,83,50,246,26,7,64,191,5,.123,.364,3,5,1,1,2.4,48.3,.30,.09,.30,5.7,2.4,2.4,-3.3,0.6,7.8,0.8,7.1
Gustavo,Camacho,2,37,LF,1B/OF,153,160,456,502,51,109,6,.239,.301,.336,.636,80,20,3,38,29,153,4,1,38,68,4,.096,.267,0,4,0,0,3.1,76.0,.15,.08,.27,-16.7,0.3,2.4,1.2,0.6,-12.2,-1.2,2.2
Louisa,Burton,,38,C,RF,789,1472,2027,2256,201,506,34,.250,.314,.351,.665,377,87,8,206,129,711,9,4,176,421,22,.101,.297,16,15,4,12,1.5,59.6,.21,.08,.25,-41.5,-2.0,2.4,13.5,1.1,-26.5,-2.7,13.8
Lilly,Silva,10,42,LF,1B/OF,152,604,437,479,56,111,23,.254,.314,.455,.769,71,15,2,73,40,199,2,6,37,129,2,.201,.307,1,2,0,0,0.8,19.0,.30,.08,.36,2.5,-2.4,2.4,1.2,0.4,4.2,0.4,3.7
Ralph,Herrera,,37,CF,OF,1319,1389,4204,4647,573,1115,80,.265,.328,.383,.711,808,199,28,413,307,1610,247,59,360,809,42,.118,.310,20,21,18,0,3.3,52.6,.19,.08,.28,-16.0,23.6,2.4,-15.1,2.5,-2.5,-0.2,33.0
